                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5336,                 2.3873,                 1.5821,                0.47173,                0.42667,                0.39259,                0.28128,                0.94683,                 2.6993,                  1.155,                0.00022,                0.00022,                0.00022
                      2,                 1.0479,                 1.7546,                 1.2414,                0.42215,                0.48889,                0.39286,                0.27071,                0.94731,                  1.838,                 1.2128,             0.00045089,             0.00045089,             0.00045089
                      3,                 1.0231,                 1.5665,                 1.2413,                0.44789,                0.50889,                0.43734,                0.29766,                 0.9383,                 2.5617,                 1.2983,             0.00067228,             0.00067228,             0.00067228
                      4,                0.99466,                 1.4692,                  1.219,                0.28058,                0.39001,                0.25159,                 0.1409,                 1.2353,                 3.6005,                 1.5218,             0.00088416,             0.00088416,             0.00088416
                      5,                 1.1251,                  1.763,                 1.3412,                0.33463,                0.45556,                0.33907,                0.20561,                 1.2768,                 2.4029,                 1.5714,              0.0010865,              0.0010865,              0.0010865
                      6,                  1.058,                 1.4901,                 1.2567,                0.31918,                0.55778,                0.32959,                0.20464,                  1.329,                 2.9737,                 1.5964,              0.0012794,              0.0012794,              0.0012794
                      7,                 1.0546,                 1.4709,                 1.2559,                0.22096,                   0.34,                0.18891,                  0.087,                 1.6436,                 2.8422,                 1.8867,              0.0014628,              0.0014628,              0.0014628
                      8,                 1.0292,                 1.3752,                  1.232,                0.29123,                0.55333,                0.29293,                0.16213,                 1.3008,                 2.8819,                 1.6316,              0.0016367,              0.0016367,              0.0016367
                      9,                 1.0365,                 1.4343,                 1.2582,                0.07764,                0.17111,                0.04275,                0.02271,                 1.8396,                 6.1614,                 1.9735,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.0003,                  1.277,                 1.2426,                0.31215,                0.33985,                0.23223,                0.12292,                 1.6269,                 2.8319,                 1.8762,              0.0016436,              0.0016436,              0.0016436
                     11,                0.97424,                 1.2618,                 1.2108,                0.26876,                0.38222,                0.22476,                0.12171,                 1.6302,                  2.455,                 1.8658,               0.001604,               0.001604,               0.001604
